Epoch,Gen Loss,Disc Loss,Disc Accuracy,Epoch Time (s),GPU Memory (MiB),GPU Temp (�C)
1,30.818676615335857,0.44192227972559184,82.37885324362598,5914.86607336998,7737,54
2,28.9130658758692,0.31062044924401855,89.76048494553625,5847.312304019928,7714,59
3,29.575972246836468,0.21565663657454123,93.27956668001124,5864.978621006012,7742,53
4,29.607176416849036,0.28438940916554517,89.55945004451509,5868.138647079468,7733,56
5,30.057516894666065,0.22134324926209736,92.64781099313451,5865.503671169281,7760,58
6,30.625466748892542,0.22762454021348053,92.21650762731612,6200.941682815552,7756,54
7,30.2030806790394,0.19757911102120657,94.64308761405124,6070.869021177292,7814,59
8,30.14077987824099,0.16456871488726282,95.99150628290083,6189.444022655487,7789,58
9,30.454132899701836,0.11858197896326163,97.76833035570242,6862.913561344147,7724,51
10,29.600298647899706,0.13932456484580613,97.72556301125125,7148.8736140728,7725,51
